Processo                 ; Crime                                                    ; Cidade                   ; Vara                                                                  ; Juiz                                              ; Pena_Base     ; Pena_Definitiva        ; anos_b; meses_b; dias_b; anos_d; meses_d; dias_d
1500449-04.2022.8.26.0618; Tráfico de Drogas e Condutas Afins                       ; Taubaté                  ; 3ªª Vara Criminal                                                     ; Marcia Beringhs Domingues de Castro               ; N/A               ; N/A                ;      0;       0;      0;      0;       0;      0
1501616-29.2022.8.26.0530; Tráfico de Drogas e Condutas Afins                       ; Ribeirã£o Preto          ; 5ªª Vara Criminal                                                     ; Ilona Marcia Bittencourt Cruz                     ; 5 ano 0 mês 0 dia ; 1 ano 8 mês 0 dia  ;      5;       0;      0;      1;       8;      0
1500762-87.2022.8.26.0545; Tráfico de Drogas e Condutas Afins                       ; Atibaia                  ; 3ªª Vara Criminal                                                     ; Leonardo Marzola Colombini                        ; N/A               ; N/A                ;      0;       0;      0;      0;       0;      0
1508388-75.2021.8.26.0228; Tráfico de Drogas e Condutas Afins                       ; SãO PAULO                ; 23ªª Vara Criminal                                                    ; Cynthia Torres Cristofaro                         ; 5 ano 0 mês 0 dia ; 2 ano 0 mês 0 dia  ;      5;       0;      0;      2;       0;      0
1501882-51.2019.8.26.0229; Tráfico de Drogas e Condutas Afins                       ; Hortolã¢ndia             ; 1ªª Vara Criminal da Comarca de Hortolã¢ndia                          ; André Forato Anhê                                 ; 6 ano 8 mês 0 dia ; 9 ano 8 mês 20 dia ;      6;       8;      0;      9;       8;     20
0045787-09.2017.8.26.0050; Tráfico de Drogas e Condutas Afins                       ; SãO PAULO                ; 9ªª Vara Criminal                                                     ; Tatiana Franklin Regueira                         ; 5 ano 0 mês 0 dia ; 1 ano 8 mês 0 dia  ;      5;       0;      0;      1;       8;      0
1500275-17.2022.8.26.0546; Tráfico de Drogas e Condutas Afins                       ; Mogi-Guaã§u              ; Vara Criminal                                                         ; PAULO ROGERIO MALVEZZI                            ; 5 ano 0 mês 0 dia ; 6 ano 0 mês 0 dia  ;      5;       0;      0;      6;       0;      0
1500216-32.2021.8.26.0621; Tráfico de Drogas e Condutas Afins                       ; Cruzeiro                 ; Vara Criminal                                                         ; ANDERSON DA SILVA ALMEIDA                         ; N/A               ; N/A                ;      0;       0;      0;      0;       0;      0
1500216-32.2021.8.26.0621; Tráfico de Drogas e Condutas Afins                       ; Cruzeiro                 ; Vara Criminal                                                         ; ANDERSON DA SILVA ALMEIDA                         ; N/A               ; N/A                ;      0;       0;      0;      0;       0;      0
1500216-32.2021.8.26.0621; Tráfico de Drogas e Condutas Afins                       ; Cruzeiro                 ; Vara Criminal                                                         ; ANDERSON DA SILVA ALMEIDA                         ; 5 ano 0 mês 0 dia ; 1 ano 8 mês 0 dia  ;      5;       0;      0;      1;       8;      0
